movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget
Avatar,2783918982,760507625,2023411357,230967498,425000000
Titanic,2207615668,658672302,1548943366,,200000000
Jurassic World,1669164161,652198010,1016966151,15869432,215000000
The Avengers,1519479547,623279547,896200000,109833695,225000000
Furious 7,1516246709,351032910,1165213799,17355448,190000000
The Avengers: Age of Ultron,1404705868,459005868,945700000,16669698,250000000
Harry Potter and the Deathly Hallows: Part II,1341511219,381011219,960500000,100892266,125000000
Frozen,1274234980,400738009,873496971,204943952,150000000
Iron Man 3,1215392272,408992272,806400000,25338875,200000000
Minions,1162153250,335856845,826296405,,74000000
The Lord of the Rings: The Return of the King,1141408667,377845905,763562762,,94000000
Transformers: Dark of the Moon,1123790543,352390543,771400000,56596544,195000000
Skyfall,1110526981,304360277,806166704,47663877,200000000
Transformers: Age of Extinction,1104039076,245439076,858600000,25385886,210000000
The Dark Knight Rises,1084439099,448139099,636300000,71550111,275000000
Toy Story 3,1069818229,415004880,654813349,188353092,200000000
Pirates of the Caribbean: Dead Man's Chest,1066215812,423315812,642900000,320862849,225000000
Pirates of the Caribbean: On Stranger Tides,1045663875,241063875,804600000,30495293,250000000
Jurassic Park,1038812584,395708305,643104279,,63000000
Star Wars Ep. I: The Phantom Menace,1027044677,474544677,552500000,,115000000
Alice in Wonderland,1025491110,334191110,691300000,82392151,200000000
The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,34291070,250000000
The Dark Knight,1002891358,533345358,469546000,282151234,185000000
The Lion King,987480140,422780140,564700000,87279169,79300000
Despicable Me 2,974873764,368065385,606808379,124785357,76000000
Harry Potter and the Sorcerer’s Stone,974755371,317575550,657179821,,125000000
Pirates of the Caribbean: At World's End,963420425,309420425,654000000,312232971,300000000
The Hobbit: The Desolation of Smaug,960366855,258366855,702000000,40345708,250000000
Harry Potter and the Deathly Hallows: Part I,959301070,295001070,664300000,94451714,125000000
The Hobbit: The Battle of the Five Armies,955119788,255119788,700000000,22868661,250000000
Harry Potter and the Order of the Phoenix,942943935,292004738,650939197,250958851,150000000
Finding Nemo,936429370,380529370,555900000,,94000000
Harry Potter and the Half-Blood Prince,935083686,301959197,633124489,144559514,250000000
The Lord of the Rings: The Two Towers,934703179,342548984,592154195,,94000000
Shrek 2,932252921,436471036,495781885,,70000000
Harry Potter and the Goblet of Fire,896911078,290013036,606898042,540450950,150000000
Spider-Man 3,890875303,336530303,554345000,125012910,258000000
The Lord of the Rings: The Fellowship of the Ring,887217688,315544750,571672938,,109000000
Ice Age: Continental Drift,879765137,161321843,718443294,42923108,95000000
Harry Potter and the Chamber of Secrets,878979634,261987880,616991754,,100000000
The Hunger Games: Catching Fire,864868047,424668047,440200000,59932615,130000000
Ice Age: Dawn of the Dinosaurs,859701857,196573705,663128152,104091204,90000000
Inside Out,852343178,356418708,495924470,,175000000
Star Wars Ep. III: Revenge of the Sith,848998877,380270577,468728300,,115000000
Transformers: Revenge of the Fallen,836519699,402111870,434407829,221996361,210000000
Inception,832584416,292576195,540008221,86223190,160000000
"The Twilight Saga: Breaking Dawn, Part 2",829724737,292324737,537400000,76433565,136200000
Spider-Man,821706375,403706375,418000000,,139000000
Independence Day,817355682,306124059,511231623,,75000000
Shrek the Third,805623351,321012359,484610992,176566326,160000000
Harry Potter and the Prisoner of Azkaban,796688549,249538952,547149597,,130000000
ET: The Extra-Terrestrial,792804231,434949459,357854772,,10500000
Fast and Furious 6,789952811,238679850,551272961,55302633,160000000
02012,788408539,166112167,622296372,52100596,200000000
Indiana Jones and the Kingdom of the Crystal Skull,786558145,317023851,469534294,117107120,185000000
Star Wars Ep. IV: A New Hope,786535665,460935665,325600000,22775633,11000000
Spider-Man 2,783705001,373524485,410180516,31252739,200000000
Guardians of the Galaxy,771172112,333172112,438000000,43041922,170000000
The Da Vinci Code,767820459,217536138,550284321,100215702,125000000
Maleficent,758407328,241407328,517000000,35651742,180000000
