movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget,M line counts,F line counts,female percentage,blockbuster,release year
Dances with Wolves,415285106,175293948,239991158,,19000000,995,120,10.76233184,0,1990
Twilight,402280159,192769854,209510305,238026904,37000000,661,645,49.38744257,0,2008
Basic Instinct,350853973,115881197,234972776,,0,1155,606,34.41226576,0,1992
What Lies Beneath,288600000,155370362,133229638,,90000000,459,936,67.09677419,0,2000
The Fifth Element,263869158,63540020,200329138,,95000000,1406,168,10.67344346,0,1997
Braveheart,209045647,75545647,133500000,,72000000,1220,214,14.92329149,0,1995
Scream,173001286,103001286,70000000,,15000000,1058,448,29.74767596,0,1996
Sense and Sensibility,134975897,42975897,92000000,,16500000,679,1704,71.50650441,0,1995
Star Trek: Generations,119839306,75510568,44328738,,38000000,1428,328,18.67881549,0,1994
Lost in Translation,117085297,44585453,72499844,,4000000,317,418,56.8707483,0,2003
Frankenstein,112006296,22006296,90000000,,45000000,1107,256,18.78209831,0,1994
Predator,94604507,56072497,38532010,,18000000,737,31,4.036458333,0,1987
Out of Sight,77474810,37474810,40000000,,48000000,1999,663,24.90608565,0,1998
The Imaginarium of Doctor Parnassus,64352607,7689607,56663000,7558720,30000000,1428,378,20.93023256,0,2009
What About Bob?,63710000,63710000,0,,0,1636,438,21.11861138,0,1991
Willow,57269863,57269863,0,,0,929,334,26.44497229,0,1988
Bull Durham,50888729,50888729,0,,0,1392,640,31.49606299,0,1988
Absolute Power,50007168,50007168,0,,50000000,1051,222,17.43912019,0,1997
Magnolia,48446802,22450975,25995827,,37000000,2422,717,22.84166932,0,2000
Almost Famous,47371191,32522352,14848839,,60000000,1525,684,30.96423721,0,2000
The Debt,46604054,31177548,15426506,7071334,20000000,742,457,38.11509591,0,2011
Memento,39709113,25530884,14178229,,5000000,1016,226,18.19645733,0,2011
Psycho,37065220,21380220,15685000,,20000000,1491,399,21.11111111,0,1960
EDtv,35232087,22421087,12811000,,60000000,1768,669,27.45178498,0,1999
Grosse Pointe Blank,31059206,28073151,2986055,,15000000,1045,375,26.4084507,0,1997
